x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
5.916666666666667296e-02,3.125000000000000173e-03,3.556104105546457106e+01,1.000000000000000036e-10,1.386865788871578884e-04,1.519483490340035929e-05
6.083333333333333648e-02,3.125000000000000173e-03,3.332201133631625112e+01,1.000000000000000036e-10,1.301475949676263264e-04,1.500279646174106694e-05
6.250000000000000000e-02,3.125000000000000173e-03,3.122278788987702569e+01,1.000000000000000036e-10,1.220600206246196136e-04,1.418373283110937865e-05
6.416666666666667740e-02,3.125000000000000173e-03,2.925334398216226361e+01,1.000000000000000036e-10,1.146394557723575563e-04,1.302280321870454897e-05
6.583333333333334092e-02,3.125000000000000173e-03,2.740147269746510617e+01,1.000000000000000036e-10,1.079737784391747511e-04,1.170276177023594867e-05
6.750000000000000444e-02,3.125000000000000173e-03,2.565421803418977120e+01,1.000000000000000036e-10,1.020844055062771508e-04,1.033814000815269001e-05
6.916666666666666796e-02,3.125000000000000173e-03,2.399865918058920045e+01,1.000000000000000036e-10,9.695399055657227794e-05,9.002964492475341735e-06
7.083333333333333148e-02,3.125000000000000173e-03,2.242241834897069452e+01,1.000000000000000036e-10,9.253957101145365892e-05,7.745390072678189612e-06
7.250000000000000888e-02,3.125000000000000173e-03,2.091400681354074464e+01,1.000000000000000036e-10,8.878148085616609925e-05,6.594737270637693446e-06
7.416666666666667240e-02,3.125000000000000173e-03,1.946303565376515721e+01,1.000000000000000036e-10,8.561093477271763431e-05,5.565795786231432161e-06
7.583333333333333592e-02,3.125000000000000173e-03,1.806030898778348970e+01,1.000000000000000036e-10,8.295630735495032517e-05,4.662427415959341529e-06
7.749999999999999944e-02,3.125000000000000173e-03,1.669782540860014564e+01,1.000000000000000036e-10,8.074777627734813887e-05,3.880839887434034639e-06
7.916666666666667684e-02,3.125000000000000173e-03,1.536871644520521762e+01,1.000000000000000036e-10,7.892033033972056734e-05,3.212392475457476843e-06
8.083333333333334036e-02,3.125000000000000173e-03,1.406714773060945944e+01,1.000000000000000036e-10,7.741541693466530351e-05,2.645800649136375547e-06
8.250000000000000389e-02,3.125000000000000173e-03,1.278820254738304030e+01,1.000000000000000036e-10,7.618159476938224481e-05,2.168728593486903281e-06
8.416666666666666741e-02,3.125000000000000173e-03,1.152776123829671739e+01,1.000000000000000036e-10,7.517453075879851994e-05,1.768848240828759464e-06
8.583333333333334481e-02,3.125000000000000173e-03,1.028238485542308922e+01,1.000000000000000036e-10,7.435660741425439675e-05,1.434479756182937762e-06
8.750000000000000833e-02,3.125000000000000173e-03,9.049207657821570550e+00,1.000000000000000036e-10,7.369633051185935698e-05,1.154927954842505896e-06
8.916666666666667185e-02,3.125000000000000173e-03,7.825840505027776395e+00,1.000000000000000036e-10,7.316766313860046831e-05,9.206111931181480426e-07
9.083333333333333537e-02,3.125000000000000173e-03,6.610285553201554087e+00,1.000000000000000036e-10,7.274936494478106432e-05,7.230565574850798557e-07
9.250000000000001277e-02,3.125000000000000173e-03,5.400861673535073848e+00,1.000000000000000036e-10,7.242438274706773302e-05,5.548140593752392318e-07
9.416666666666667629e-02,3.125000000000000173e-03,4.196139461632629519e+00,1.000000000000000036e-10,7.217931722819977830e-05,4.093253875613455377e-07
9.583333333333333981e-02,3.125000000000000173e-03,2.994884432595080970e+00,1.000000000000000036e-10,7.200397720343951354e-05,2.807698775614042485e-07
9.750000000000000333e-02,3.125000000000000173e-03,1.796006888184645600e+00,1.000000000000000036e-10,7.189102523370391354e-05,1.639011663557265736e-07
9.916666666666666685e-02,3.125000000000000173e-03,5.985169248049498902e-01,1.000000000000000036e-10,7.183571438968784693e-05,5.388171731002698732e-08
8.333333333333333868e-04,4.375000000000000416e-03,9.940228487865881846e+01,1.000000000000000036e-10,7.173848963347636556e-05,-7.365058153254720739e-08
2.500000000000000052e-03,4.375000000000000416e-03,9.820643213355863566e+01,1.000000000000000036e-10,7.178973060704278741e-05,-2.240461653212832592e-07
4.166666666666666609e-03,4.375000000000000416e-03,9.700929385842405850e+01,1.000000000000000036e-10,7.189439648005289019e-05,-3.838382606551248374e-07
5.833333333333333599e-03,4.375000000000000416e-03,9.580995225089020551e+01,1.000000000000000036e-10,7.205694036484144491e-05,-5.596699366293477174e-07
7.500000000000000590e-03,4.375000000000000416e-03,9.460739584626267629e+01,1.000000000000000036e-10,7.228425699245758917e-05,-7.587561201705737017e-07
9.166666666666666713e-03,4.375000000000000416e-03,9.340047701780828504e+01,1.000000000000000036e-10,7.258594589575634456e-05,-9.891178224472694409e-07
1.083333333333333370e-02,4.375000000000000416e-03,9.218786431640413070e+01,1.000000000000000036e-10,7.297467003290689363e-05,-1.259816676380296326e-06
