x_m,pressure_Pa,radius_m,velocity_m_s,flow_m3_s
2.725752508361203863e-01,2.335644589790885220e+03,2.023356445897908900e-03,5.135676981685243225e-01,6.605297264849690429e-06
2.742474916387959705e-01,2.318859879649752656e+03,2.023188598796497612e-03,5.136529145692597664e-01,6.605297264849690429e-06
2.759197324414715546e-01,2.302069597485808117e+03,2.023020695974857980e-03,5.137381804815853714e-01,6.605297264849690429e-06
2.775919732441471388e-01,2.285273739157893033e+03,2.022852737391578684e-03,5.138234959547218761e-01,6.605297264849690429e-06
2.792642140468227230e-01,2.268472300521882062e+03,2.022684723005218916e-03,5.139088610379497490e-01,6.605297264849690429e-06
2.809364548494983072e-01,2.251665277430682181e+03,2.022516652774307075e-03,5.139942757806107432e-01,6.605297264849690429e-06
2.826086956521738913e-01,2.234852665734229049e+03,2.022348526657342070e-03,5.140797402321058973e-01,6.605297264849690429e-06
2.842809364548494755e-01,2.218034461279484731e+03,2.022180344612795055e-03,5.141652544418963133e-01,6.605297264849690429e-06
2.859531772575250597e-01,2.201210659910437244e+03,2.022012106599104225e-03,5.142508184595045995e-01,6.605297264849690429e-06
2.876254180602006438e-01,2.184381257468096010e+03,2.021843812574680883e-03,5.143364323345123168e-01,6.605297264849690429e-06
2.892976588628762280e-01,2.167546249790491856e+03,2.021675462497905112e-03,5.144220961165627548e-01,6.605297264849690429e-06
2.909698996655518122e-01,2.150705632712673832e+03,2.021507056327126635e-03,5.145078098553597101e-01,6.605297264849690429e-06
2.926421404682273963e-01,2.133859402066705570e+03,2.021338594020666984e-03,5.145935736006671535e-01,6.605297264849690429e-06
2.943143812709029805e-01,2.117007553681664831e+03,2.021170075536816470e-03,5.146793874023103399e-01,6.605297264849690429e-06
2.959866220735785647e-01,2.100150083383640322e+03,2.021001500833836343e-03,5.147652513101752536e-01,6.605297264849690429e-06
2.976588628762541489e-01,2.083286986995730786e+03,2.020832869869957499e-03,5.148511653742087191e-01,6.605297264849690429e-06
2.993311036789297330e-01,2.066418260338040909e+03,2.020664182603380474e-03,5.149371296444192891e-01,6.605297264849690429e-06
3.010033444816053727e-01,2.049543899227678594e+03,2.020495438992276748e-03,5.150231441708760238e-01,6.605297264849690429e-06
3.026755852842809569e-01,2.032663899478757685e+03,2.020326638994787444e-03,5.151092090037096005e-01,6.605297264849690429e-06
3.043478260869565410e-01,2.015778256902387511e+03,2.020157782569024195e-03,5.151953241931116478e-01,6.605297264849690429e-06
3.060200668896321252e-01,1.998886967306677661e+03,2.019988869673066539e-03,5.152814897893363000e-01,6.605297264849690429e-06
3.076923076923077094e-01,1.981990026496732980e+03,2.019819900264967563e-03,5.153677058426975321e-01,6.605297264849690429e-06
3.093645484949832936e-01,1.965087430274650615e+03,2.019650874302746524e-03,5.154539724035727133e-01,6.605297264849690429e-06
3.110367892976588777e-01,1.948179174439519102e+03,2.019481791744395360e-03,5.155402895223994975e-01,6.605297264849690429e-06
3.127090301003344619e-01,1.931265254787414960e+03,2.019312652547874346e-03,5.156266572496783773e-01,6.605297264849690429e-06
3.143812709030100461e-01,1.914345667111401781e+03,2.019143456671113838e-03,5.157130756359715740e-01,6.605297264849690429e-06
3.160535117056856302e-01,1.897420407201526587e+03,2.018974204072015565e-03,5.157995447319023707e-01,6.605297264849690429e-06
3.177257525083612144e-01,1.880489470844818243e+03,2.018804894708447865e-03,5.158860645881577778e-01,6.605297264849690429e-06
3.193979933110367986e-01,1.863552853825284956e+03,2.018635528538253055e-03,5.159726352554849793e-01,6.605297264849690429e-06
3.210702341137123828e-01,1.846610551923912226e+03,2.018466105519239190e-03,5.160592567846954415e-01,6.605297264849690429e-06
3.227424749163879669e-01,1.829662560918660347e+03,2.018296625609186570e-03,5.161459292266618037e-01,6.605297264849690429e-06
3.244147157190635511e-01,1.812708876584461905e+03,2.018127088765844703e-03,5.162326526323191001e-01,6.605297264849690429e-06
3.260869565217391353e-01,1.795749494693220413e+03,2.017957494946932308e-03,5.163194270526655361e-01,6.605297264849690429e-06
3.277591973244147194e-01,1.778784411013806221e+03,2.017787844110138177e-03,5.164062525387617120e-01,6.605297264849690429e-06
3.294314381270903036e-01,1.761813621312056739e+03,2.017618136213120313e-03,5.164931291417309556e-01,6.605297264849690429e-06
3.311036789297658878e-01,1.744837121350771213e+03,2.017448371213508094e-03,5.165800569127586561e-01,6.605297264849690429e-06
3.327759197324414719e-01,1.727854906889710492e+03,2.017278549068897073e-03,5.166670359030947068e-01,6.605297264849690429e-06
3.344481605351170561e-01,1.710866973685594985e+03,2.017108669736856347e-03,5.167540661640506183e-01,6.605297264849690429e-06
3.361204013377926403e-01,1.693873317492100568e+03,2.016938733174920752e-03,5.168411477470019610e-01,6.605297264849690429e-06
